Id;Name;Host Id;Host Name;Neighbourhood Group;Neighbourhood;Latitude;Longitude;Room Type;Price;Minimum Nights;Number of Reviews;Last Review;Reviews per Month;Calculated Host Listings Count;Availability 365;Coordonnees
3909159;Fantastic studio flat;20248797;Martine;;Panthéon;48.84813849776107;2.3506782967408495;Entire home/apt;93;3;47;2015-08-16;4.12;1;330;48.8481384978, 2.35067829674
6510120;Superbe Studio Quartier Latin;17191558;Bapt;;Panthéon;48.85164059228642;2.345362857015607;Entire home/apt;95;1;5;2015-06-30;1.55;1;356;48.8516405923, 2.34536285702
6771847;Splendid flat in the heart of Paris;32583072;Estelle;;Panthéon;48.84538218807749;2.350950808030929;Entire home/apt;200;2;2;2015-08-03;1.43;1;313;48.8453821881, 2.35095080803
7618464;Charming 30 m² duplex near Pantheon;7255966;Léa;;Panthéon;48.849394393322775;2.3477204845700923;Entire home/apt;64;3;2;2015-08-17;2.0;1;8;48.8493943933, 2.34772048457
3690622;Center Lovely Parisian Studio;18718062;Ekaterina;;Panthéon;48.84220511001628;2.3390776169691345;Entire home/apt;38;1;4;2015-08-03;0.34;1;267;48.84220511, 2.33907761697
740141;Cozy Charming Parisian Apartment;3873281;Vivian;;Panthéon;48.840763287381726;2.3563664121055643;Entire home/apt;100;4;13;2015-08-09;0.39;1;9;48.8407632874, 2.35636641211
2404406;A JEWEL NEAR NOTRE DAME : HELOISE;7140390;Michel;;Panthéon;48.8522140229185;2.345465096541119;Entire home/apt;89;1;20;2015-07-30;1.3;9;276;48.8522140229, 2.34546509654
7031076;Bel appartement 100m2 Mouffetard;16569839;Valerie;;Panthéon;48.837174906841206;2.349085699207287;Entire home/apt;135;5;1;2015-07-11;0.55;1;41;48.8371749068, 2.34908569921
3305756;Luxembourg Gardens Studio 75005;16695249;Lauren;;Panthéon;48.842830949790965;2.3434356087156396;Entire home/apt;65;20;1;2014-08-02;0.08;1;234;48.8428309498, 2.34343560872
7305272;Lounge & cosy appartement;21216636;Christine;;Passy;48.87065786861198;2.2913560731156766;Entire home/apt;250;1;0;;;1;365;48.8706578686, 2.29135607312
4995890;Cosy studio in the center of Paris;1786668;Eléonore;;Passy;48.874911121410044;2.2893223667047455;Entire home/apt;40;5;1;2015-02-07;0.14;1;308;48.8749111214, 2.2893223667
3470805;A clean bedroom + shower in Paris;11095353;Marc;;Passy;48.84524235556314;2.2627657171494175;Entire home/apt;25;1;16;2015-06-25;2.38;2;288;48.8452423556, 2.26276571715
5951866;Lovely Flat in Paris (XVIe);10123077;Lise;;Passy;48.84203437866169;2.2668708691856585;Entire home/apt;50;1;2;2015-08-05;2.0;1;130;48.8420343787, 2.26687086919
1478173;Fantastic Duplex 48m2;1104967;Marcio;;Ménilmontant;48.86646309532972;2.3979128560864673;Entire home/apt;69;3;42;2015-08-17;1.78;1;340;48.8664630953, 2.39791285609
2256070;Spacious bright room, double bed;11520029;Justine;;Ménilmontant;48.87659223189729;2.40555004461911;Private room;40;3;6;2015-08-15;2.22;1;362;48.8765922319, 2.40555004462
1534093;Paris magnifique 37m2 Père Lachaise;3166679;;;Ménilmontant;48.85565389791177;2.3985842473534347;Entire home/apt;55;3;3;2014-11-13;0.27;1;365;48.8556538979, 2.39858424735
5812466;Balcon en haut de Ménilmontant -XXe;3612560;Aglaé;;Ménilmontant;48.86948591849766;2.3960484819771075;Entire home/apt;60;3;12;2015-08-01;2.4;1;27;48.8694859185, 2.39604848198
6513781;Appartement 2 pièces 35 m2 + balcon;22096165;Isa;;Ménilmontant;48.84801717430575;2.412784258565871;Entire home/apt;60;1;0;;;1;77;48.8480171743, 2.41278425857
