danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0.6,225133,0.535,4.7e-06,4,0.162,-7.042999999999999,1,0.107,71.91199999999999,4,0.26899999999999996
0.88,200373,0.728,5.42e-05,10,0.337,-6.939,0,0.205,160.976,4,0.715
0.882,175511,0.503,0.0,11,0.10800000000000001,-6.617999999999999,1,0.179,95.01100000000001,4,0.17600000000000002
0.7909999999999999,173987,0.619,0.004229999999999999,1,0.35100000000000003,-5.886,1,0.0532,103.98899999999999,4,0.371
0.532,223147,0.616,0.0,10,0.0928,-7.074,0,0.0328,101.883,4,0.292
0.6970000000000001,180567,0.552,0.127,1,0.147,-10.270999999999999,0,0.196,75.235,4,0.278
0.737,258000,0.742,0.0,6,0.316,-2.875,1,0.0441,119.96600000000001,4,0.386
0.636,221529,0.8759999999999999,0.0,9,0.0728,-4.652,1,0.0617,149.93200000000002,4,0.759
0.853,281587,0.835,3.72e-06,0,0.16399999999999998,-4.662,1,0.27399999999999997,75.05199999999999,4,0.767
0.485,182360,0.857,0.0,2,0.34700000000000003,-7.059,1,0.0442,148.749,4,0.963
0.831,211963,0.528,2.58e-05,2,0.396,-7.635,1,0.534,153.987,4,0.23199999999999998
0.929,223939,0.598,0.0,1,0.0549,-5.372999999999999,1,0.156,96.012,4,0.501
0.616,176966,0.5870000000000001,0.00603,9,0.312,-6.439,0,0.0911,148.028,4,0.27899999999999997
0.748,187973,0.8190000000000001,0.0,10,0.111,-4.032,0,0.198,110.645,3,0.792
0.601,207905,0.7240000000000001,1.68e-06,6,0.12,-4.856,1,0.0486,102.061,4,0.508
0.29600000000000004,261627,0.42100000000000004,0.0,7,0.23199999999999998,-8.891,1,0.0285,83.425,5,0.335
0.568,215733,0.401,0.0,7,0.262,-6.341,1,0.0297,95.796,4,0.29600000000000004
0.8859999999999999,191600,0.7240000000000001,0.00010800000000000001,6,0.106,-5.105,0,0.27699999999999997,97.056,4,0.456
0.6409999999999999,231627,0.0964,2.95e-05,9,0.11,-12.995999999999999,0,0.0399,76.273,4,0.35700000000000004
0.62,227413,0.778,0.0,8,0.312,-4.622,0,0.0724,147.012,4,0.386
0.705,209733,0.7140000000000001,0.0,11,0.253,-6.39,0,0.0792,104.99600000000001,4,0.434
0.9009999999999999,307660,0.529,0.0,2,0.179,-4.4430000000000005,1,0.191,138.003,4,0.146
0.6990000000000001,205920,0.713,3.11e-06,9,0.294,-5.507000000000001,0,0.0594,121.993,4,0.354
0.635,181319,0.601,0.0,2,0.11199999999999999,-9.837,1,0.14400000000000002,180.046,4,0.515
0.688,195813,0.8590000000000001,0.0,0,0.121,-4.447,1,0.0609,92.042,4,0.695
0.39899999999999997,170964,0.18100000000000002,0.0,5,0.317,-9.408999999999999,1,0.0416,145.512,4,0.318
0.435,242162,0.27399999999999997,0.0,9,0.158,-7.84,1,0.0358,136.123,3,0.42200000000000004
0.611,221904,0.644,0.0,6,0.124,-7.607,0,0.0553,105.969,4,0.13
